Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,What is the slogan on license plates manufactured by prisoners in the state prison in Concord,Live Free or Die,General,It is illegal to pawn what in Las Vegas,Your Dentures,General,Former baseball star chuck connors hits a bull's-eye with adult-western,Rifleman
General,The locals call it Firenze what do we call it,Florence Italy,General,Luke wrote two Bible books Luke and what,Acts,Science & Nature,What is the meaning of the name of the constellation Lacerta ?,Lizard
General,In Old English what kind of person often had a 'shite',Gossip - phrase Chit Chat from it,General,"In Greek mythology, who did minos hire to construct the labyrinth",Daedalus,Science & Nature," The __________ eagle, swooping at better than 100 miles per hour, can brake to a halt in 20 feet.",African
General,Pan is the greek god of ______,Shepherds and flocks,Sports & Leisure,"In which sport is the term ""wishbone"" used?",Football,General,Edgar allen poe wrote a famous poem about which animal,Raven
Science & Nature,"What fruit is ""Citrus grandis""",Grapefruit,General,About one-tenth of the earth's surface is permanently covered with ___,Ice,Music,Where did the Beatles stay on their first trip to Hamburg?,A Movie Theatre
General,What is the most common breeding bird in the US,Red Winged Blackbird,General,What is a pugilist?,Boxer,General,Jacque Cousteau's ship Calypso used to be what before he got it,Minesweeper
General,Where is poet's corner,Westminster abbey,General,What is the mathematical diagram in which sets are represented by overlapping circles,Venn,General,1 in 20 children born in US today will do what,Serve time in prison
 History & Holidays,Who Succceeded Hitler In 1945? ,Admiral Donitz ,Sports & Leisure,In which city is the Hockey Hall of Fame located,Toronto,General,What was the composer Dvorak's christian name,Antonin
General,What '27 baseball team had a crew of heavy hitters called murderer's row,New,General,Whose first novel was 'Saturday Night and Sunday Morning',Alan sillitoe,Geography,What is the capital of Grenada,Saint george's
Science & Nature,The rate of change of velocity is known as _________.,Acceleration,Sports & Leisure,"Ian Rush said (If I don't drink my milk, I'll only be good enough to play for) which football team? ",Accrington Stanley ,General,Which English king did Robert the Bruce defeat at Bannockburn,Edward ii
Sports & Leisure,Which football team's home ground is Ibrox Stadium? ,Rangers Football Club ,Toys & Games,"In which sport are terms ""spare"" and ""gutter"" used",Bowling,General,Noah's Ark had two of everything including what feature,Windows
Science & Nature,Some animals spend the winter in a sleep_like state known as _________.,Hibernation,General,What were early diaphragms IUD - Dutch cap made from,Orange skin - Half an orange,General,Why does a cynophobe fear,Dogs
General,What is the only flag permitted to be flown over the US flag,United Nations Flag,Music,Which Artist Spent The Most Weeks In The Charts In The 1950's,Elvis Presley,General,Pungent crystalline substance used in medicine and mothballs,Camphor
General,Off what country lies the island of Zanzibar,Tanzania,Entertainment,What famous classical composer continued to compose great music after becoming deaf?,Ludwig van Beethoven,Science & Nature,What name is given to a young frog ?,Tadpole
 History & Holidays,"Ex tv detective, turned crooner. Who sang Silver Lady? ",David Soul ,General,In 1776 the first union went on strike in the US what job,Journeyman Printers,General,In 1955 Production announced-first pilot plant to produce man-made,Diamonds
General,Beverly hills has what fictional zipcode,90210,General,In which Olympics did Mark Spitz win seven gold medals,1972, History & Holidays,"Which actor best known for his horror films, did the narration on Micheal Jackson's hit 'Thriller' ",Vincent Price 
General,In Ren and Stimpy what sort of dog is Ren,Chiuhauha,People & Places,Which Zoologist Wrote The Book Man Watching ,Demond Morris ,Sports & Leisure,Which sport allows substitutions without stoppage in play?,Hockey
General,"Who provided the voice for the independent Eilonwy in Disney's often criticized 1985 movie ""The Black Cauldron""?",Susan Sheridan,General,Who is the central figure in Peter C Newmans 'The Establishment Man',Conrad black,General,Collective nouns - A shiver of what,Sharks
General,"What material features in the construction of a ""corduroy road""",Logs,Music,Who Was Known As The Father Of The Waltz,Johann Strauss Snr,General,Which side of a book are the even numbered pages usually on,Left
General,This queen of France was beheaded in 1793,Marie antoinette,Music,How Many Crotchets Do You Get In A Minim,2,General,Micky Dolenz Of The Monkees Briefly Provided The Voice Of Which Famous Cartoon Character,Scooby Doo
General,What is a group of this animal called: Viper,Nest,General,What is the fear of the color white known as,Leukophobia,General,Who wrote the 1958 play Five Finger Exercise,Peter shaffer
General,In the 1954 film A Star is Born starring Judy Garland who played the leading man,James mason,General,What are the only three nations with Jewish populations over one million,"Israel, russia, u.s. israel, russia & us",Food & Drink, Where is the best brandy bottled,Cognac
General,What is a somnambulist,Sleepwalker,General,What is the area of water between alaska and russia,Bering strait,Music,Who won best international female artist at this years Brit awards?,Gwen Stafani
General,Close encounters of the first kind,Sighting unexplained craft sighting ufo's,General,What is the square root of 9801,Ninety nine,General,In Wisconsin by law you must carry fire insurance on what,A Jet Ski
Science & Nature,"On Borneo and Sumatra, the literal translation of this ape's name means ""man of the forest.""",Orang-utan,People & Places,Who Founded the Salvation Army ? ,Wiliam Booth ,General,Who rode a horse called Aethenoth,Lady Godiva
General,What film won the 1943 Oscar as best film,Casablanca,General,Small flat emblem worn as a sign of office,Badge,General,First comic book character to return from death by demand is?,Joker in Batman
Music,Who Immortalised The 1969 Woodstock Festival In Song,Joni Mitchell,Music,Who Were The Beatles Accused Of Snubbing In Manilla In 1966,Imelda Marcos,Technology & Video Games,What item's sound effect was removed from Smash Brothers when it was ported from Japan to the United States                          ,The Beam Sword
Food & Drink,Caviar Is A Delicacy That Comes From Which Fish ,Sturgeon ,General,In Which US State Was Michael Jackson Born,Indiana,General,"Christine Child won six British titles in the 1970s, in which sport",Judo
General,Barkley name the only animal whose main source of food is the porcupine,Fisher,General,In Iowa pouring what down a pub drain with cop there is illegal,Water it becomes an illegal alcohol,General,What country used the deadly nerve gas SARIN against Kurdish minority factions in the 1990s,Iraq
General,Name the first African American doll produced by Mattel,Francie,General,Tyrannophobia is the fear of _____,Tyrants,General,What was the first product to have a barcode,Wrigley's gum
General,"Which Latin Word Is Used To Express The Meaning ""Word For Word""",Verbatim,General,What does a drosomoter measure,Dew,General,What bird lays the largest clutch of eggs,The Grey Partridge – up to 16
Geography,"Though part of the British Isles, the _______________ is administered according to its own laws by the Court of Tynwald. The island is not bound by British law unless it chooses to be.",Isle of man,General,Which 50's Actress was born Vera Jayne Palmer,Jane mansfield,General,In what city does a certain church forbid burping or sneezing,"Omaha,"
Sports & Leisure,At Which Course Is The Derby Run Each Year? ,Epsom ,General,Name the Honolulu detective whose favourite foe was 'Wo Fat',Steve mcgarrett,General,The Word Emmet Is An Archaic Term For Which Creature,An Ant
General,What is the fictitious name of a defendent,Richard roe,Technology & Video Games,What was the first game created by Rare?                                                                                             ,Slalom,General,What did Teddy Roosevelt ban from the White House,Christmas trees
 History & Holidays,Which Of Santa's Reindeer Shares It's Name With A High Street Store ,Comet , Language,Mardi Gras is French for ___________.,Fat tuesday,Music,Who introduced a Disco Duck?,Rick Dees and His Band of Idiots
Tech & Video Games,On what non-Nintendo console can you find Zelda games?                                                                               ,Philips CD-I,Science & Nature," The Nile crocodile averages about 45 years in the wild, and may live up to 80 years in __________",Captivity,General,"Whose wife was roxana, his horse bacephalus",Alexander the great
Music,Which Song Recorded By Whitney Houston In 1993 Was Originally A Hit For Chaka Khan In 1978?,I'm Every Woman,General,What country consumes the most calories per capita,Ireland,General,Levophobia is the fear of,Things to the left side of the body
Tech & Video Games,What is IRC an acronym for?,Internet relay chat,Music,Who Was The First Member Of Take That To Have A Solo No 1 Hit?,Gary Barlow,General,"To what instrument family do ""french horns"" belong",Brass
General,What is the honeymoon capital of the world,Niagara falls,General,Who is the male lead in the film 'volcano',Tommy lee jones,General,What used to be called (in Europe) Arabian wine,Coffee
Science & Nature,In which county is the UK's Met Office? ,Devon ,General,In which country was Graham Greene's novel 'A Burnt Out Case' set,Belgian congo,General,What is a group of buffalo,Gang
General,Where would you see a stoop or what creature is doing it,A falcons diving,General,What is the Capital of: Grenada,Saint george's,General,Which arabic country has the biggest proportion of Christians?,Lebanon
General,After whom is the month of January named,Janus,General,What did Moldavia & Walachia unite to become,Romania,General,Who is the only real person to ever have been the head on a Pez dispenser?,Betsy Ross
 Geography,This is the only borough of New York City that is not on an island.,The Bronx,General,What was KFCs Colonel Sanders first name,Harland,General,What is 'au courant' in english,Well informed
General,What are hiragana and katakana,Japanese alphabets,General,Who wrote the lyrics for Oscar winning song Whole New World,Tim Rice,Food & Drink,What Bird Is Traditionally Eaten For Thanksgiving ,Turkey 
General,Pavarotti popularized Nessun dorma but what does it mean,None shall sleep,General,What did Tantalus serve to the Gods that caused his punishment,His dismembered son Pelops,General,Long tubular Australian Aboriginal musical instrument,Didgeridoo
General,Which companies logo is based on the legend of cats nine lives,Ever Ready,General,"What was the tv name of the one-armed man who pursued ""the fugitive""",Fred,Religion & Mythology,Who is the greek equivalent of the roman god Mars,Ares
General,What do insects do through their spiracles,Breathe, Geography,Which country has the most emigrants?,Mexico,Sports & Leisure,Which league club did Ali McCoist first play for? ,St Johnstone 
Music,Which Members Of The Bee Gees Were Twins,Maurice & Robin,General,What is 'guacamole',Mexican avocado dip,General,Which of the halogens is liquid at room temperature,Bromine
General,What natural product is petrol refined from,Oil,Food & Drink,What is taramasalata made from? ,Smoked cod's roe ,General,Who were the first club to be knocked out of the FA Cup on penalties?,Scunthorpe United
General,What is a chemically castrated cock called,Capon,General,Which British Prime Minister was born in Canada,Andrew bonar law,General,The science of preparing and dispensing drugs is ________.,Pharmacy
General,"What's the international radio code word for the letter ""U""",Uniform,Science & Nature," The striped __________ can fire its musk stream accurately for up to 12 feet, and even farther with a cooperative downwind.",Skunk,General,"Material world Where does the Dicken's story ""A CHRISTMAS CAROL"" take place",England
General,What is the effect of the earth's rotation on the wind called,Coriolis,General,Who won four consecutive Belgian grand prix victories beginning in 1962,Jim clark,General,"Acute, highly contagious viral disease, often fatal, that appears to have been completely eradicated",Smallpox
General,Where in London was the Great Exhibition of 1851 held,Hyde park,General,What is linda mccartney's maiden name,Eastman,General,"Callisto, lo and Europa are moons of which planet",Jupiter
Science & Nature,Where are there over 58 million dogs?,USA,General,Admiral Horatio Nelson suffered from what common condition,Seasickness,Entertainment,What is Batman's butler Alfred's last name.,Pennyworth
General,"In the parable of the Good Samaritan, to which city was the Samaritan travelling",Jericho,Religion & Mythology,"In Greek mythology, who was the beautiful young man Echo fell in love with?",Narcissus,General,Who is Ivanhoe's wife,Rowena
Music,"The Single ""Up Where We Belong"" Is Taken From Which Film",An Officer And A Gentleman,Music,What Was The Name Of The Club At Richmond's Station Hotel Where The Stones Really Came To Prominence,The Crawdaddy,Music,Which Actress Was The Inspiration For Elton Johns Song Candle In The Wind,Marilyn Monroe
General,The Monument In The City Of London Is A Monument To Which Event,The Great Fire Of London,Music,In What Year Did Madonna Marry Sean Penn,1985,Science & Nature,Which meteor shower occurs on the 21st October ?,Orionids
General,Which children's character was created by Mary Tourtel,Rupert the Bear,Music,Which Scot Became A Modern Girl In 1980,Sheena Easton,General,N'Djamena is the capital of which African country,Chad
General,In which country is milk the most popular beverage?,USA,General,"Julias Caesar & Cleopatra Had A Child Together The Name Of Which Can Also Be Encountered In The Medical Profession, What Is It?",Caesarion,General,Which car company makes the Xsara,Citroen
General,It is illegal to cross the Iowa state boundaries wearing what,Duck on your head,Food & Drink,"Which familiar carbonated soft drink contains quinine, a fact which influenced the name it was given? ",Tonic Water ,General,Who played romeo in the 1996 release of romeo and juliet,Leonardo di caprio
General,The worlds first what opened in Brighton England in 1897,Petrol (gas) station,General,"Who used 8,000 different words in his poem, ""Paradise Lost""",John milton,General,In UK its 10 USA its 8 Continental Europe its 38 what is,Women's dress size
Mathematics,What is the maximum number of integer degrees in a reflex angle?,359,Science & Nature,This fingerlike projection is attached to the large intestine.,Appendix,General,Who played hopalong cassidy,William boyd
General,"What is striped on a tiger, besides it's fur",It's skin,Sports & Leisure,Which Scottish Football Club Is Named After An Irish Monk? ,St Mirren ,General,"A step that rocks from one foot to the other, usually in ¾ time.",Balancé
General,What sank German submarine U120 in WW2,Broken toilet,Music,"Who Fell In Love With ""My Little China Girl""",David Bowie,General,What dog is named after a mexican state,Chihuahua
General,US Pres mom said Looking at my children wish I'd stayed virgin,Jimmy Carter,General,What is a group of bison,Herd,Music,"What day of the week is mentioned in The Beatles Song ""I Am The Walrus""?",Tuesday
General,What nationality was the artist Whistler,American,General,"In alphabet radio code, what word is used for 't'",Tango,General,"Who recorded ""blueberry hill"" in 1956",Fats domino
General,In 1961 French army revolts in,Algeria,General,Two short words are combined to give the name of which small stand with several shelves or layers for displaying ornaments,Whatnot,General,What is the most famous song to be re-recorded by the same artist,Candle in
General,Fiochetti is what shaped pasta,Bows,Music,"Which Team Later Married , Wrote ""Ain't No Mountain High Enough"" , ""Reach Out And Touch"" & ""You're All I Need To Get By""",Nickolas Ashford & Valerie Simpson,General,Hockey the vancouver _______,Canucks
General,The electric light first available product what's second,Electric Oven,General,"What are Blenheim, Lord Derby and Peasgood?",Apples,General,"Nutagak, perksertok and pokaktok are Eskimo words for what ?",Snow
General,What do rabbits love,Licorice,Geography,Twenty_three states in the U.S. border an ____________,Ocean,Music,Little Richard Recorded Two Top 20 Hits In The 60's Name One Of Them,He Got What He Wanted / Bama Lama Bama Loo
General,The Germans name for their country,Deutschland,General,"In showjumping, how many points are incurred for knocking down a fence",Four,General,Which American Crooner sang the theme to the TV show `The Love Boat' ,Jack Jones 
General,"He said 'i have nothing to offer but blood, tears, toil and sweat'",Winston, History & Holidays,Who Is The Father Of Queen Elizabeth 2nd ,George VI ,General,The first car with a non_U.S. nameplate to be classified as U.S. domestic.,Mazda mx_6
General,In which novel by George Eliot is Eppie Cass adopted by a miser whose gold has been stolen by her father,Silas marner,Science & Nature,"Two 1.5 volt batteries, when connected in series, produces _ volts.",3,General,From whom did rocky first win the boxing championship,Apollo creed
General,Where in Huddersfield was the Rugby League formed in 1895,The george hotel,Food & Drink,What Is Scrumpy ,Cider ,General,"In Greek mythology, who was medea's husband",Jason
General,How was William Huskinson killed in 1830 - first ever,Run over by Railway Train,General,Ferrite is a form of which metal,Iron,General,Which group wished it could be Christmas every day,Wizard
General,"Weapon consisting of a long, sharp edged or pointed blade fixed in a hilt (a handle that usually has a protective guard at the place where the handle joins the blade)",Sword,Sports & Leisure,Who was the last Briton to win the men's singles at Wimbledon?,Fred Perry,General,"Which British actor, famous for roles in horror films, was the cousin of author lan Fleming",Christopher lee
 History & Holidays,"In What Year Was Robert Kennedy Assassinated? (2 Points Spot On, 1 Point Year Either Way) ",1968 ,General,Which poet wrote Ode to a Skylark,Shelley,General,What exactly are chitterlings,Fried animals birds small intestines
General,What was banned in Horneytown North Carolina,Massage Parlours,General,1727 Helen Morris put in asylum for putting what in a newspaper,Lonely Hearts Advert,Science & Nature,What are animals called if they are abl to live on land or in water ,Amphibians 
 History & Holidays,Which group had a one hit wonder with 'Book of Love''? ,The Monotones ,General,In West Virginia its illegal to snooze where,On a train,General,Name Hercule Poirot's valet,George
General,What is the word for hallucinations and delusions,Schizophrenia, Geography,What is the fifth largest country in the world?,Brazil,General,The Gatun Lake and the Gaillard Cut are found on which waterway?,Panama Canal
Music,Which British Sax Player Fronted The Band Paraphernalia,Barbara Thompson,Sports & Leisure,Which Team Were The England Cricket Team Playing When Michael Atherton Was Involved In The 'Dirt In The Pocket Scandal''? ,South Africa ,Entertainment,What is the stage name of Greta Gustafson?,Greta Garbo
General,"Which herb is used to make ""Pesto Sauce""",Basil, History & Holidays,What war followed the shot heard round the world ,The war of american independence,General,In what country was the longbow invented,Wales
 Geography,New Delhi is the capital of ______?,India,General,"In the tv series 'the brady bunch', what was mike brady's occupation",Architect, History & Holidays,Where is the infamous Lubjanka prison?,Moscow
General,Which fruit is used in the drink cassis,Blackcurrant,General,When Boris Becker Won His First Wimbledon Title Aged Just 17 Who Did He Beat In The Final,Kevin Curran,Music,Name The Instrument Connected With Guy Barker,Trumpet
General,"In Greek mythology, who wanted to remain unmarried until she was defeated in a footrace",Atlanta,General,Britain's most dangerous job used to kill one person every 3 days,Trawlerman,General,"Which Group Of Animals Are Collectively Known As A ""Rafter""",Turkeys
General,The Romans called it Numidia what do we call it today,Algeria, History & Holidays,How many states did richard nixon carry in 1972 ,Forty nine ,General,Name the cocktail which consists of Scotch and Drambuie,Rusty nail
General,What is the name of the dog from the Grinch who stole christmas,Max,Food & Drink,What Is 'SPAM' Short For ,Spiced Ham ,General,Alcohol comes from the Arabic word  Al Kohl meaning what,The Essence
General,"Samuel Sewall, John Hathome and William, Stoughton were the presiding judges at which series of 17th Century trials",Salem witch trials,General,The Jordanian city Amman was once called what,Philadelphia,General,"What can be types called chordate, needle and cruciform",Tree Leaves
Music,The Daughter Of Which Tv Game Show Host Had A Hit As A Member Of Toto Coelo With I Eat Cannibals,Bob Holness,Art & Literature,"Who is a successful recording artist, talented landscape artist, and author of children's books?",Ricky Van Shelton,General,"Sang by robert palmer, '______ to love'",Addicted
General,An arenaceous plant grown in what type of soil,Sandy,General,"Terrestrial gastropod mollusk, related to the snail, but with the shell represented by an internal horny plate overlying the respiratory cavity",Slug,General,UK what sized by Grains Peas Singles Doubles Trebles Cobbles,Coal
General,Which is the windy city,Chicago,General,Which is the longest river in the british isles,Shannon,Food & Drink,What Does Demi Sec Mean On A Champagne Bottle ,Sweet 
General,Term for the role the atmosphere plays in insulating and warming the earth's surface,Greenhouse effect,General,Who played the part of Claude Greengrass in Heartbeat,Bill maynard,Music,When Radio 2 Conducted A Poll In 199 To Discover The Best Songs Of The Century Which Was The Only Bob Dylan Song To Make The Top 50,Blowing In The Wind
General,30% of women have done it but only 10% do it regularly - what,Multiple Orgasms,General,Who recorded the Album In Through the Out Door,Led Zeppelin,General,From where does the uvula dangle,Palate
General,What does qb vii refer to in leon uris's title,Queen's bench no 7,General,Who did cassius stab,Julius caesar,Science & Nature,How many moons does Mercury have?,None
General,Evidence of what alternative treatment found in 5300 mummy,Acupuncture,General,What is the Capital of: India,New delhi,General,What nationality was Alfred Hitchcock,British
Science & Nature,"In the early 20th century, rattlesnake venom was used to treat which illness?",Epilepsy,General,Rhypophobia is the fear of,Dirt,General,In which country was Auschwitz,Poland
General,What nhl hockey player was sports illustrated's 'sportsman of the year' for 1970,Bobby orr,General,Mcbricker of what did aristotle say all things were made up,"Air, earth, fire, water",General,"Somali, Balinese and Abyssinian breeds of what",Cat
Art & Literature,What is the name of the main character in Homer's Odyssey?,Odysseus,General,A person in his eighties is called a(n) __________.,Octogenarian,Geography,What is the capital of Marshall Islands,Dalap_uliga_darrit
Music,"Which 1982 Chart Topping Singer Had Earlier Appeared On TV As Alex Haley's Mother In ""Roots The Next Generation"" And As A Jim Jones Cult Member In ""The Guyana Tragedy""",Irene Cara,Geography,This is the residence of English monarchs.,Buckingham palace,Science & Nature,This complex substance makes up all living things.,Protoplasm
General,What does 'cassata' ice cream contain,Fruit and nuts,Science & Nature,What term appies to space devoid of matter ,Vacuum ,General,The St. Valentine's day massacre took place in this city,Chicago
General,Who won the women's heptathlon at Seoul in 1988,Jackie Joyner-Kersey,Music,Which Album Cover Had To Be Reshot Because It Featured Unauthorised Shots Of Various Personalities,Some Girls,General,What does 'entre nous' mean,Between ourselves
General,What's a truffle,Edible fungus,Technology & Video Games,What is Ozzie's hyper sister's name in the original 'All-C Saga' game?                                                               ,Treli,General,Who was the actress that played Ferris Bueller's sister?,Jennifer Grey
General,What is the Capital of: Cook Islands,Avarua,General,"From which musical did the gongs ""Spring, spring, spring"" and ""The Lonesome Polecat Lament"" come",Seven brides for seven brothers,General,What computer game featured a disco leftover looking for love?,Leisure Suit Larry
General,Christopher Cockerel invented what,Hovercraft,Sports & Leisure,"In ten_pin bowling, how many points does a perfect game consist of",300,General,In which country is the cheese Tome produced,Denmark
General,Klysmophillia is arousal from what,Enemas,Music,With Which Record Did The Lighthouse Family Enter The Charts At No.6 In 1998,Lost In Space,General,Name the late eighties band that named the sides of their first album Hardware and Software and also used samples from Star Trek movies in their songs.,Information Society
Music,In Which Year Was John Lennon Murdered,1980,Music,"Who Had A Hit In 1983 With ""The Chinese Way""",Level 42,General,What Sort Of Creature Is A Greylag,Goose
General,How many celebrities featured on the panel in each episode of the game show 'Blankety Blank'?,6,Science & Nature,What Is An Anechoic Chamber ,An Acoustic Echo Free Room ,Religion & Mythology,Who is the Norse god of justice,Forseti
General,Who is the Greek Goddess of witchcraft and black magic,Hecate,General,A u-shaped bend in a river is called a(n)___.,Oxbow,General,"What is the ""southern lights"" called",Aurora australis
General,What Was The First Product Available In The UK Under Hire Purchase,A Sewing Machine,General,What was the inexpensive designer watch of choice amongst teenagers during the eighties?,Swatch, History & Holidays,Who Released The 70's Album Entitled All Things Must Pass ,George Harrison 
General,Musophobia is the fear of,Mice,General,Turf Stone and Hedge are all types of what,Mazes,General,The refraction of light by ice crystals causes a what to form round the Sun,Halo
Sports & Leisure,Which Country Won The World Cup First Germany Or Brazil ,Germany ,Music,"Who Recorded The Album ""Shaken & Stirred""",Robert Plant,General,Hirohito ascended to the Japanese throne in which year,1926
General,Leukophobia is the fear of,The color white,General,In New York by law the death penalty is required for what act,Jumping off a building, History & Holidays,What Was A Ballista? ,"An Ancient Siege Machine, A Giant Catapult Or Crossbow? "
General,Which American poet was also a surgeon,Oliver Wendell Holmes, History & Holidays,What Happened To The Apollo I Spacecraft On 27 January 1967 ,Caught Fire On Launch Pad Killing All 3 Crew ,General,Vikings what was the nickname given to the minnesota vikings' defensive unit,Purple
Science & Nature,What fish is the fastest,Sailfish,Music,What Was the Best Selling Single In The UK In The 20th Century By A Duo?,You're The One That I Want,General,What london landmark has an 11 foot long hand,Big ben
 History & Holidays,Holy Roman Emperor Charles VI created which principality in 1719? ,Lichtenstein ,General,Funchal is the principal city of which Portuguese province,Madeira,General,Which group's Best of Album is entitled Like You Do,Lightning seeds
General,What animals make up the Suidae family,Pigs,Music,"What Was Snaps Follow Up Single To ""Rhythm Is A Dancer""",Exterminate,General,"If bats are nocturnal and horses diurnal, then coyotes and others animals that roam at dawn and the twilight hours are called?",Crepuscular
Music,What Stevie Wonder song was recorded by 'Beck Bogart and Appice'?,Superstition,General,John Quincy Adams was the only US president to do what,Marry a non American woman, History & Holidays,"In 1972 which flash new motor was advertised with the slogan, ` The car you always promised yourself'? ",Ford Capri 
Science & Nature,What was created with the big bang?,Universe,General,An animal stuffer is a(n) ___________.,Taxidermist,Music,Who keeps a ten bob note up his nose?,Mean Mr. Mustard
General,What was the Rolling Stones first no 1 hit,Its all over now,Music,Johnny Mathis Was Once A World Class Athlete In Which Event,High Jump,General,Of which academy is a goat the mascot,U.s naval academy
General,Alberto Tomba is a name associated with which sport,Skiing,General,Whose name did god change to israel,Jacob,General,Who was the last British king born outside the UK,George II - Hanover
General,What colour was Tweety Bird originally,Pink,General,The weight at the end of a pendulum is a(n) ______.,Bob,General,What is the Capital of: Sri Lanka,Colombo
Sports & Leisure,In April 2003 Who Became The Oldest Man To Be Rated No1 In The World Tennis Association Rankings At The Age Of 33? ,Andre Agassi ,General,What is the flower that stands for: precaution,Golden rod,Science & Nature,Which Is The Only Chemical Element With A Three Letter Name? ,Tin 
Geography,"The muskellunge, a fierce fighting fish that can weigh in at around 70 pounds, is the official state fish of ___________________",Wisconsin,General,What is an australian bandit also known as,Bushranger,Entertainment,Who starred in 'Conan The Barbarian'?,Arnold Schwarzenegger
General,Who is the babylonian goddess of love and fertility,Ishtar,General,Rabbits like _______,Licorice, History & Holidays,"Charlie Chaplin Died On Christmas Day In 1977, How Old Was He When He Died ",88 
General,Belgrade lies on The Danube and which other river,Sava,Art & Literature,Of Which Famous London Landmark Was Sir Alfred Gilbert The Sculptor ,Eros ,Music,"John Parr Sang About What ""Fire"" From The Film Of The Same Name",St Elmo's Fire
General,Who was the king of Judah (800-783 bc),Amaziah,General,Who succeeded Hitler in 1945,Admiral donitz,General,D D Palmer was the worlds first what,Chiropractor – Osteopath
General,Collective nouns - a group of swans are called what,A Bevy,Food & Drink, From which fruit is the liqueur Kirsh made,Cherry,General,What is the ball on top of a flagpole called,Truck
Toys & Games,In poker five cards of the same suit is called a(n) ________.,Flush,General,Venus Observa is the technical term for what,Missionary position,General,How is abba calling for help,Sos
General,How many bones are there in the human body,206,Food & Drink,"Unlike other oranges, what does a navel orange not have ",Seeds ,General,"What was the original title of the movie ""A Hard Days Night""",Beatlemania
General,What dog in ancient China was restricted to the aristocracy,Pekinese,General,What kind of skiing held its first world championship in 1979,Grass skiing,General,Who wrote the autobiographical book My Family and Other Animals in 1956,Gerald durrell
People & Places,Who won a place in the Guinness Book of Records for writing 26 books in 1983? ,Barbara Cartland ,General,"In Which Book Of The Bible Will You Learn Of The Number Of The Beast ""666""",The Book Of Revelations,General,Name the treaty of 1929 which recognised Papal authority within the Vatican City,Lateran treaty
Science & Nature,"What has the chemical formula H2, SO4? ",Sulphuric Acid ,General,Crispies driving: what country is identified by the letter c,Cuba,General,Who was the oldest man in the bible?,Methuselah
General,What is the name of the Israeli national anthem,Hatikvah,General,What is the fear of illness known as,Nosemaphobia,General,Logizomechanophobia is a fear of ______,Computers
General,In the middle of the land is the literal translation of where,Mediterranean sea,Entertainment,"His films include: Giant, Written on the Wind, and A Farewell to Arms.",Rock Hudson,General,What is the science pertaining to the earth's interior heat,Geothermics
Music,"Who Recorded the Album ""Alright Now"" - ""Change"" & ""Heartache""",Pepsi & Shirlie,Sports & Leisure,"At what age can a player join the Seniors Golf Tour 45, 50 or 55? ",50 ,General,Flagg canadian: wild hairy monster of indian lore,Sasquatch
General,Which famous piece of artwork depcits the Battle of Hastings ?,Bayeux Tapestry,General,Silverwood Michigan its illegal to kill what using your hands,A Bear to impress a girl,General,Whats the worlds largest coral reef,Great barrier reef
General,Who was the world's first woman Prime Minister,Sirimavo bandaranaike,People & Places,Who Or What Is The Actress Uma Thurman Named After ,A Hindu Goddess ,General,Who played bass guitar in Suzi Quarto's group,Suzi Quatro
General,In what opera did count almaviva have a page named cherubino,Marriage of,General,"Two South American countries have no coastline, Bolivia is one what is the other",Paraguay, History & Holidays,Who did Henry VIII marry when he was 18?,Catharine of Aragon
General,"Who did arthur h bremer try to assassinate on may 13, 1972",George wallace,General,Who rode a horse called Bucephalus,Alexander the Great,Music,What Type Of Concerto Did The Toys Sing In 1965,A Lovers Concerto
Geography,"A distillery was originally on the site of America's first mint, the ____________ mint, which opened in 1792.",Philadelphia,General,The code name for the allied invasion of Italy in WW II was operation _______,Avalanche,General,Complete the name of the 1970s group Sutherland Brothers and ___.,Quiver
General,"In ""St. Elmo's Fire,"" What city does Billy go to at the end???",New York,General,What book did forrest gump keep in his suitcase,Curious george,General,"What is the English title of the German opera, 'Die lustigen Weiber von Windsor'",The merry wives of windsor
General,What is the principal religion in Romania,Orthodox,Music,"""Damon Albarn, Alex James, Graham Coxon & Dave Rowntree"" Were All members Of Which Band",Blur,Geography,In which country is the dalai lama's palace ,Tibet 
 Geography,What is the capital of Colorado?,Denver,General,Name the Greek national airline,Olympic Airways,General,What zone lies between the tropics of Capricorn & Cancer,Tropical zone
General,From where to london was the first commercial boeing 747 flight,New york,General,After English what's the most widely used language on the net,German,General,Who wrote the music for Local Hero,Mark knopfler
 History & Holidays,What was the last chinese dynasty?,Manchu,General,What is saltimbocca,An italian dish of ham & veal,General,The filaments for the first electric lamp were made from what,Bamboo
General,A light aircraft without an engine,Glider,Music,"Who Sang The Song ""Danger Zone"" From The Movie Top Gun",Kenny Logins,General,Who was the author of the series of novels referred to as the Raj Quartet,Paul scott
 Language,The Scots call it 'shinty' - what do Canadians and Americans call it?,Hockey,General,Water found below the surface of the land,Groundwater,General,Seattle Rome Edinburgh Sheffield what links them,Built on seven hills
General,What is the binary equivalent of decimal 10,1010,General,"In which American state are Toledo, Cincinnati and Dayton",Ohio,General,In 1846 American inventor Elias Howe patented what type of machine,Sewing machine
Music,Who Was Bound For Delaware In 1960,Perry Como,Music,Who Changed His Name From Maurice Cole To Become One Of The UK's Famous DJ's,Kenny Everett,General,What was the name of the Royal Navy's first nuclear submarine,H m s dreadnought
